'played','guessed'
'G#3','F3'
'G4','G4'
'A5','G4'
'E3','A3'
'C4','C4'
'D#2','D#2'
'G6','D#5'
'E5','E5'
'G6','F6'
'G#3','E3'
'C#4','E4'
'F5','A#5'
'F#5','E5'
'D4','G4'
'D#5','G5'
'G#5','A5'
'A#4','C5'
'G#5','G#5'
'G#2','D3'
'A#6','C6'
'F#3','F3'
'E3','G3'
'C3','A2'
'A2','A2'
'A#6','D6'
'G#2','F3'
'D#2','D#2'
'E5','F4'
'F#3','B3'
'C3','D3'
'F#6','D5'
'A2','B2'
'D2','E2'
'E4','F4'
'D#5','D5'
'A#4','C5'
'C#6','C6'
'D5','B5'
'E2','G#2'
'G2','G2'
'E4','E3'
'A#6','D7'
'G4','D5'
'D4','E4'
'D#3','D3'
'G#5','A4'
'G#4','B4'
'G5','B5'
'B4','F5'
'C2','C2'
'A3','F3'
