'played','guessed'
'C#2','C#2'
'F4','C4'
'A6','G#6'
'E6','G6'
'E4','F4'
'D6','A#5'
'B5','E6'
'C6','B5'
'C5','G4'
'F3','A3'
'A4','F4'
'B2','A2'
'C#4','C4'
'E3','F3'
'F3','F3'
'G2','A2'
'G3','F3'
'D5','B4'
'A2','G3'
'B5','G4'
'G2','E3'
'A4','C4'
'E5','A5'
'F#2','D3'
'G5','B4'
'D#5','A5'
'D6','D6'
'E3','A3'
'B3','B3'
'C3','A2'
'F#4','D5'
'G4','G4'
'E4','E4'
'C5','D5'
'C2','C#2'
'F5','D5'
'C#6','C6'
'E2','D4'
'D5','E4'
'B2','G3'
'D#5','C5'
'E6','D6'
'G#5','F5'
'B4','D5'
'C#2','C#2'
'A2','D3'
'C#6','C5'
'A3','D4'
'E6','G6'
'C#3','D3'
'F2','D2'
