'played','guessed'
'G#6','D6'
'A2','D3'
'D2','C2'
'G5','F4'
'B6','B5'
'D2','D3'
'G5','C5'
'A6','D6'
'C#6','G#6'
'C3','D3'
'F4','D5'
'E2','A2'
'F#6','F5'
'D#6','G6'
'A4','F5'
'C#4','D4'
'F5','D5'
'D#6','F6'
'F3','A2'
'A#3','D4'
'C2','D2'
'E5','A4'
'A#6','A6'
'C#3','D3'
'B4','E4'
'G#4','C5'
'E3','E3'
'A3','G3'
'F4','B4'
'C#6','C6'
'E2','A2'
'B4','F5'
'G6','C6'
'C#5','G5'
'B3','D4'
'D6','G5'
'B3','B3'
'C#2','C2'
'D#6','D5'
'F3','E3'
'C6','B5'
'D#3','C3'
'G#5','C5'
'B6','F6'
'A#6','G#6'
'C6','F6'
'G#4','B4'
'A4','G4'
'C4','C4'
'D#6','D5'
'C4','C4'
