'played','guessed'
'B5','B5'
'G2','D2'
'F#3','E3'
'C#5','C#4'
'A5','D#6'
'C5','E5'
'C#5','C5'
'A#3','C#4'
'F5','A#5'
'G2','F2'
'B3','C#4'
'G#2','D3'
'G3','E3'
'D#2','C#2'
'F#6','B5'
'G4','E5'
'G2','D3'
'G#2','B2'
'D3','C3'
'G#2','F2'
'F6','G5'
'G2','A2'
'C#3','F3'
'G#2','G#2'
'F#4','D5'
'F2','F2'
'A#4','G3'
'D#5','D5'
'D#3','D3'
'D#2','D2'
'C#6','F5'
'A2','G3'
'G#2','B2'
'A3','F4'
'D5','E5'
'D#3','A2'
'B6','A6'
'C#3','D3'
'G3','D4'
'C6','D6'
'D2','D2'
'F5','C4'
'E2','G2'
'D#5','G4'
'G#6','C7'
'G4','E6'
'G#6','D6'
'E5','F5'
'B3','D4'
'D4','D4'
'C4','C4'
