'played','guessed'
'F6','E6'
'A#6','B6'
'A3','E3'
'C6','A4'
'F4','F4'
'C#2','C#2'
'A6','C#6'
'D4','D4'
'C6','F6'
'B4','D5'
'A3','E3'
'F4','C4'
'B2','G2'
'D#5','B4'
'B6','F6'
'B5','E5'
'A5','E6'
'D#4','C#4'
'F#4','F4'
'E3','D3'
'F#2','F2'
'D4','C4'
'G#6','D6'
'D5','A4'
'E4','D4'
'D4','D4'
'C#5','F4'
'G#3','G3'
'E6','A5'
'G4','F5'
'B5','B5'
'F2','G2'
'C5','D4'
'A2','A2'
'G#3','G3'
'G6','A6'
'E2','D2'
'C#4','C4'
'B6','G5'
'G#5','B5'
'C4','C4'
'C5','C5'
'A#5','A4'
'C#4','D4'
'B4','F4'
'B6','B5'
'A6','G6'
'D4','D4'
'F6','B6'
'F5','D6'
'C5','F5'
