'played','guessed'
'A5','G6'
'F3','G3'
'F#2','C2'
'F5','B5'
'D5','G5'
'A3','D3'
'G#5','F5'
'D4','D4'
'D6','D6'
'F#2','G2'
'C#6','B5'
'C2','D2'
'C5','D5'
'G#2','G2'
'F#3','D3'
'C5','B3'
'A4','B4'
'A5','G5'
'A6','B6'
'D5','A4'
'A#5','A5'
'D#5','G5'
'D6','F6'
'F4','D5'
'C4','D4'
'F#2','G2'
'A#5','G4'
'A#2','A2'
'A#5','A4'
'F#6','G6'
'F#4','A5'
'B3','C4'
'D#6','F6'
'C#3','A2'
'G#6','F6'
'D#3','E3'
'F6','F6'
'B2','F3'
'A5','D6'
'C#4','D4'
'C#6','D6'
'D6','D6'
'D2','D2'
'C5','A5'
'D#6','D6'
'C5','C6'
'C#3','C#3'
'G#5','F4'
'G#5','F#5'
'G2','F2'
'D5','B5'
