'played','guessed'
'E6','E6'
'F4','G4'
'D#4','D4'
'D2','C#2'
'G#4','A4'
'A2','A2'
'A#5','G4'
'C#5','D5'
'C#2','D2'
'C#2','C#2'
'C2','C2'
'G5','A#4'
'A#6','F6'
'G4','D5'
'A4','B4'
'A#4','F4'
'B6','B6'
'A#6','A6'
'G2','F2'
'D#3','D3'
'C5','A3'
'D#5','E5'
'D2','D2'
'F#6','C#6'
'G4','A4'
'E3','E3'
'A4','G5'
'G#4','B4'
'E4','G4'
'G2','C3'
'B2','B2'
'G3','F3'
'F#3','G#3'
'B3','A#3'
'B6','B5'
'B4','E5'
'E6','E6'
'C3','D3'
'A4','B4'
'D#5','D5'
'G4','C5'
'D3','D3'
'B2','B2'
'G#3','A3'
'A#2','B2'
'F5','A5'
'F#3','A3'
'D#5','G4'
'F#5','B5'
'G5','G5'
'D#3','D#3'
