'played','guessed'
'F6','B5'
'E2','F#2'
'C3','C3'
'G2','G2'
'G#6','A5'
'G#6','G#6'
'D#2','D#2'
'E5','G#4'
'D#3','A2'
'C5','G5'
'A#4','A4'
'G#4','G#4'
'F3','G3'
'C#3','D3'
'D4','D#4'
'G4','F4'
'G#5','B4'
'F#6','F6'
'B6','G6'
'D#4','G#5'
'C4','D4'
'F6','B5'
'D4','C4'
'B4','E5'
'C#2','C#2'
'E2','F2'
'B3','B3'
'C#2','D2'
'G#5','B4'
'C5','C#5'
'F6','D6'
'G2','D3'
'F2','F2'
'G#6','B5'
'C#6','C6'
'A#6','F6'
'G#4','C5'
'F6','F6'
'A#5','A5'
'D4','D4'
'C#6','A5'
'A3','A3'
'A2','D3'
'E3','G3'
'G5','A4'
'C4','C4'
'B2','B2'
'A5','B5'
'C#2','C2'
'D#2','D2'
'D5','A5'
