'played','guessed'
'E3','D3'
'F5','G5'
'B3','A3'
'D#2','D2'
'G#6','A5'
'F5','B5'
'E3','E3'
'G5','G#5'
'E5','F#5'
'E2','F#5'
'F#3','G3'
'G#5','E5'
'F3','D3'
'A#6','A6'
'F#2','F2'
'B5','C4'
'F#6','D7'
'F6','F6'
'C#3','D3'
'A#5','F5'
'C6','D6'
'A3','A3'
'C#6','G5'
'F#2','F2'
'C5','G3'
'C4','D5'
'F5','G4'
'E5','G5'
'D3','F2'
'C#5','D4'
'C#4','F4'
'C6','E6'
'A#4','G4'
'F#3','D3'
'G#3','A3'
'A3','A3'
'D#4','D#5'
'E5','E5'
'F#3','E4'
'A#6','A6'
'E3','B5'
'G6','F5'
'B3','D4'
'D2','D2'
'A3','E3'
'B2','A2'
'G#3','B3'
'B6','A5'
'E5','G5'
'A#3','D4'
'G3','C4'
