'played','guessed'
'A4','B5'
'F#3','F3'
'A6','B5'
'B2','C3'
'E4','G3'
'B3','C4'
'C3','D3'
'C5','E6'
'D2','A2'
'E4','F4'
'G#2','C3'
'F5','G5'
'F#4','C5'
'F6','E6'
'A3','A5'
'D4','G4'
'B3','E4'
'B3','B3'
'A#6','B6'
'C3','G3'
'C#5','A4'
'F6','A5'
'F#3','E3'
'A#3','A#3'
'A3','A3'
'F2','A2'
'G#4','F3'
'F#4','A4'
'A#3','E4'
'G3','C4'
'F#5','E4'
'F#2','E2'
'G5','A4'
'G4','B4'
'F#6','G#6'
'A5','F6'
'A3','A3'
'A4','C4'
'G#3','B3'
'G#2','D2'
'E4','C4'
'A#3','D4'
'F#3','B3'
'F4','C4'
'B3','E4'
'A#2','C3'
'G#5','G5'
'C#5','E5'
'B6','G6'
'F#2','C4'
'A2','B2'
