'played','guessed'
'E3','D3'
'F5','D5'
'A6','D6'
'D3','D3'
'A#5','F#5'
'F6','F#6'
'C#4','G4'
'G2','E2'
'G#6','B6'
'A4','F4'
'F5','E5'
'E3','F3'
'A#2','G2'
'D2','C#2'
'C5','C4'
'G4','E5'
'A#3','A4'
'G4','E4'
'D4','D4'
'F#5','E5'
'F3','F3'
'G#4','C4'
'E3','G3'
'F#3','F3'
'G5','E5'
'A5','A5'
'D5','D5'
'F#4','A4'
'D3','A2'
'C2','D2'
'D#4','E4'
'G6','D6'
'B5','B5'
'F6','G6'
'E5','D5'
'B3','C#4'
'F3','C4'
'G4','B4'
'D3','D3'
'E3','G3'
'F#3','F3'
'F#5','F4'
'D#2','D#2'
'F#4','E3'
'G#2','D3'
'A#5','C5'
'E5','E5'
'B5','G#5'
'B3','F4'
'F2','F2'
'D#3','G3'
