'played','guessed'
'D2','C#2'
'B6','F6'
'G#3','B3'
'B2','B2'
'C3','C3'
'A#2','A2'
'A#3','G3'
'C2','C2'
'D#2','D#2'
'F3','E3'
'E2','G2'
'F5','C5'
'G3','A3'
'F#5','E5'
'D2','D2'
'A4','E5'
'A5','D5'
'A#3','C4'
'G#4','F4'
'B6','F6'
'A#4','A4'
'C2','D2'
'C#2','C#2'
'A2','G2'
'C#2','D2'
'G4','D4'
'D#6','A5'
'A5','A5'
'B5','C6'
'B6','A6'
'D3','E3'
'A#6','B5'
'D3','E3'
'G#2','F2'
'B3','A3'
'A4','E5'
'F6','A5'
'F#3','G3'
'G#6','E6'
'C#4','D4'
'A#5','A5'
'C#6','C6'
'A4','F5'
'D#6','F#6'
'D#6','F#6'
'F2','F2'
'A#4','E5'
'A2','G2'
'C#6','B5'
'D#2','A2'
'G#2','G#2'
