'played','guessed'
'C2','C2'
'A#5','A4'
'C#3','B2'
'C4','C4'
'D4','D4'
'G5','A5'
'A#2','C#3'
'B5','B4'
'A#2','B2'
'G6','B5'
'D2','C#2'
'B3','C4'
'D#5','B5'
'C#6','C#6'
'G#5','G5'
'G#3','F3'
'E3','E3'
'D2','D2'
'A#6','A6'
'C6','G6'
'E4','F5'
'E4','E4'
'A#4','A3'
'F5','B4'
'G4','G4'
'E5','B4'
'E4','G4'
'G#5','B4'
'G4','E5'
'B2','D3'
'D4','C#4'
'C6','E5'
'E2','F2'
'C#5','G4'
'A#2','G2'
'F#6','A5'
'D5','D5'
'A#3','C4'
'C3','D3'
'D#5','G5'
'G6','G6'
'F2','F6'
'G3','B3'
'G4','G4'
'D#3','C#3'
'F#6','D#5'
'G#3','A#3'
'F2','G2'
'F3','F3'
'B5','F5'
'D#5','D5'
