'played','guessed'
'D6','F6'
'D4','D5'
'A6','B5'
'F#4','B3'
'C#6','B5'
'C#5','D5'
'E5','E5'
'D#5','C#5'
'C6','G#5'
'D2','C2'
'C#6','C6'
'C#6','C#6'
'D5','G#4'
'F5','F5'
'F#6','A6'
'D#2','C#2'
'C4','C4'
'A#2','D3'
'D#6','G5'
'D#5','A4'
'G#4','G4'
'A#3','G3'
'C#6','G5'
'D#3','G3'
'B3','G3'
'A5','G5'
'C5','B4'
'C#3','D#3'
'D#5','D5'
'F5','G5'
'D#3','D#3'
'C#6','B4'
'D#5','C#5'
'D5','D5'
'D4','G4'
'G6','B5'
'G2','F2'
'D#5','F5'
'B3','C4'
'F#4','F4'
'C#4','C#4'
'E2','F2'
'D6','G5'
'C6','D6'
'C#4','D#4'
'C#6','D6'
'F2','F2'
'G#5','F4'
'C4','C4'
'G2','F2'
'F#4','G4'
