'played','guessed'
'E4','A4'
'A6','A6'
'F#6','A6'
'A6','A6'
'G#2','C2'
'C#5','D#5'
'F2','G2'
'F4','C4'
'C4','C4'
'E4','C5'
'F4','E4'
'E3','E3'
'G6','A6'
'E6','F6'
'A#6','A6'
'C#3','A2'
'C#2','D2'
'G5','C5'
'C#6','A#5'
'D#2','G2'
'A#3','D4'
'G#5','E5'
'C#5','A5'
'A5','A5'
'G#2','E3'
'G4','F4'
'D#6','C6'
'A4','F5'
'E6','F6'
'C6','B5'
'A#2','E3'
'G3','G3'
'D3','G#2'
'C#3','C3'
'E6','D6'
'A5','B5'
'D5','G5'
'A#2','C#3'
'F5','G5'
'G#6','C7'
'D3','A#2'
'E3','F3'
'G#3','G#3'
'G#6','D6'
'D#4','F5'
'F#3','G#3'
'D3','C3'
'G#3','G3'
'D#4','A#3'
'C2','D2'
'A#3','A3'
