'played','guessed'
'B5','A5'
'A#4','D5'
'B5','B5'
'D6','F6'
'F6','F6'
'B3','G3'
'E2','G2'
'D6','G5'
'E4','D3'
'G#4','F4'
'G#3','D3'
'B5','D5'
'F#6','E6'
'D#4','E4'
'D#6','B5'
'B6','G6'
'C3','G2'
'F#5','G4'
'G#3','F3'
'D#4','C#4'
'B2','D3'
'E6','C#6'
'G2','E2'
'G5','B3'
'D4','C4'
'E6','F5'
'E6','E6'
'A6','G6'
'C3','A2'
'G2','F2'
'B3','C4'
'D#4','E4'
'E6','G5'
'G#6','C7'
'D2','C#2'
'G#6','B5'
'D5','F6'
'C4','E4'
'F#3','A3'
'B5','A5'
'D6','C6'
'F#6','G6'
'G2','E2'
'F5','A3'
'C6','A5'
'G#2','G#2'
'C#4','C4'
'F4','E4'
'E6','C6'
'C4','C#4'
'F5','D5'
