'played','guessed'
'D4','B3'
'F2','C2'
'E4','F4'
'A#4','B4'
'A5','A5'
'F#4','G4'
'B4','A4'
'C#3','C3'
'F#5','F4'
'D4','B3'
'G#3','G3'
'C3','C3'
'C#6','C6'
'D#4','D5'
'F5','F4'
'B2','C#3'
'F5','F4'
'C#3','C#3'
'C#5','D5'
'C#3','C#3'
'E5','E5'
'D#2','D2'
'G5','F5'
'D#6','F6'
'A4','G4'
'C#3','D3'
'A#3','A3'
'D4','C#4'
'G#4','D5'
'G#4','G#4'
'B2','D3'
'D2','D2'
'G#5','D5'
'D4','D4'
'B6','A6'
'D2','E2'
'F4','G4'
'F2','F2'
'F#3','F3'
'E6','F#5'
'G#2','F2'
'C3','C3'
'C#3','C#3'
'C#2','C#2'
'D4','G3'
'G5','D5'
'D#5','F5'
'D6','B5'
'D#6','E6'
'D#6','D#6'
'G3','B3'
