'played','guessed'
'E5','E6'
'C6','B4'
'G2','F2'
'E2','E2'
'D2','C2'
'F#2','G#2'
'A2','A#2'
'G#3','D4'
'E4','E4'
'A#6','F6'
'D#3','D3'
'B3','C4'
'C#5','B4'
'F#5','G5'
'D#5','E5'
'D#2','C#2'
'C#2','C#2'
'D6','E5'
'G#3','C4'
'A#3','A3'
'G#3','A3'
'C6','F5'
'F#6','G6'
'F#5','F5'
'A2','F#2'
'A5','A5'
'C#5','F5'
'E3','E3'
'E3','E3'
'F4','F4'
'C3','D3'
'D#5','G5'
'F#2','F2'
'C#3','D3'
'C3','C3'
'A#5','G5'
'B3','D#4'
'G#2','G#2'
'A3','E3'
'A#4','A4'
'F5','D5'
'F#5','G5'
'C#5','A4'
'G#6','B6'
'F#2','F2'
'D#2','D2'
'E4','C6'
'F6','B4'
'A5','G4'
'C5','E4'
'E2','D2'
