'played','guessed'
'D3','F2'
'F2','F2'
'C#3','D3'
'C3','C3'
'B3','C4'
'E3','E3'
'A#4','G#4'
'A#2','D3'
'F4','D5'
'D#6','D5'
'D4','E4'
'G6','F6'
'A4','D5'
'B4','G4'
'C2','C#3'
'F#2','D3'
'E6','C6'
'G#3','D4'
'D3','D3'
'A#6','C6'
'D2','C2'
'C3','D3'
'F#3','F3'
'B3','A3'
'E5','G4'
'E4','D5'
'F#2','G2'
'G#4','C3'
'A#4','A4'
'B4','C5'
'D4','D4'
'C4','C4'
'C2','D2'
'A#3','A3'
'A#3','A#3'
'C#6','F#5'
'E5','F5'
'F#4','D4'
'E6','E6'
'E2','F2'
'E2','D#2'
'D#6','D5'
'B5','C6'
'E5','G5'
'G2','D3'
'F2','E2'
'F#2','F2'
'D#3','D3'
'C2','C2'
'G2','F2'
'G3','F3'
