'played','guessed'
'F#5','F5'
'F#4','B4'
'F4','E4'
'D#6','F6'
'A2','F2'
'F#3','B2'
'B5','D5'
'C#2','C2'
'F#6','F6'
'C#6','B5'
'C#4','C#5'
'G#6','D5'
'G#3','G#4'
'C#5','A#5'
'C#6','G5'
'C#3','D3'
'A#2','B2'
'C#2','C2'
'D#6','G#5'
'A#6','B6'
'D#4','B5'
'A5','G4'
'G#2','E2'
'B6','F2'
'G#3','G3'
'B6','F6'
'F#6','E6'
'B2','B2'
'B3','C4'
'C#4','D#4'
'B3','A#3'
'F#3','G3'
'C#6','G5'
'D#4','C#6'
'A#3','D4'
'A#2','B2'
'D6','G4'
'F#6','E6'
'D#6','G#6'
'A#6','B6'
'B4','B4'
'G#2','B3'
'A5','G5'
'B6','A6'
'A#2','D3'
'D5','A4'
'C2','D2'
'D#5','D5'
'E6','F6'
'F4','E5'
'C4','D4'
