'played','guessed'
'E4','F5'
'C3','C#2'
'G#4','D5'
'D#2','E2'
'F#2','F2'
'G#5','A5'
'F#5','G5'
'D4','D4'
'B2','D3'
'B6','B5'
'E2','F2'
'D#3','C#3'
'C#5','B4'
'A4','B4'
'G#6','G6'
'D3','D3'
'E2','D2'
'D3','D3'
'A5','E5'
'B6','F6'
'D#3','D#3'
'C#3','C#3'
'E2','E2'
'C#2','C2'
'G5','B4'
'A3','D3'
'E5','F5'
'A4','C5'
'C#5','B4'
'C4','E3'
'A#3','B3'
'D#6','B5'
'C5','B4'
'D6','A4'
'F#2','C3'
'A#3','D4'
'G#4','D#5'
'A#4','F4'
'A#5','C6'
'D#6','D6'
'A4','D5'
'D2','D2'
'D#5','G#5'
'B5','F#5'
'C#3','A2'
'A4','G3'
'E5','G4'
'A#6','F6'
'G3','E3'
'F#2','F2'
'G4','C5'
