'played','guessed'
'C3','G2'
'G#2','G#2'
'E4','F4'
'B5','E5'
'B6','G6'
'A#3','D4'
'A#2','F2'
'F#6','D4'
'C#3','D3'
'F4','A5'
'G#4','A4'
'F3','E4'
'C6','B5'
'B2','D3'
'B3','C4'
'D#5','C5'
'A#5','G5'
'C#2','D2'
'A4','E5'
'A#6','F6'
'C#2','D#2'
'A6','C6'
'F6','F6'
'G#5','A4'
'G2','E2'
'A3','G3'
'A2','F2'
'A#2','E3'
'D5','C5'
'D#6','G6'
'G4','E5'
'G#5','A5'
'A#2','C3'
'G5','D6'
'F#3','F3'
'C#3','G#2'
'A3','F3'
'E6','A4'
'F6','E6'
'A4','G4'
'D#2','C#2'
'D#4','E4'
'B5','G5'
'G#6','F6'
'G5','G5'
'A2','D3'
'C2','D2'
'B5','G4'
'E5','G4'
'F5','F4'
'B4','A5'
