'played','guessed'
'E2','D2'
'B6','E6'
'G#2','G2'
'D2','D2'
'C3','D3'
'C2','C2'
'A2','A2'
'F#2','G#2'
'D#6','F5'
'B5','C#6'
'A6','A6'
'C#3','D3'
'D6','F#6'
'F6','F6'
'E6','E6'
'F#6','G6'
'A2','A2'
'C5','G3'
'A#3','G#3'
'C#3','D3'
'C5','F#4'
'F6','C6'
'F#6','G6'
'B5','E6'
'C#2','C#2'
'C4','C4'
'D#6','G5'
'D#3','A2'
'C5','G4'
'G#6','C6'
'E5','G5'
'G6','E6'
'D#6','F6'
'F6','F6'
'C#6','D#6'
'A4','A5'
'G#6','E5'
'E3','D3'
'C6','D5'
'G3','B3'
'C3','D3'
'D3','D3'
'C3','C3'
'B3','C4'
'E5','C5'
'D#3','A2'
'C2','E2'
'B6','E5'
'D#4','F#4'
'G#6','C6'
'D3','D3'
