'played','guessed'
'F3','B3'
'D3','D2'
'D#2','E2'
'F4','A4'
'G2','E3'
'C6','B5'
'E6','B6'
'F2','A2'
'A5','A5'
'F5','G5'
'B4','B5'
'D6','D#6'
'G2','E2'
'G#5','B5'
'B4','F5'
'A#4','A4'
'G#4','F#4'
'C5','D5'
'F2','D2'
'F#4','A4'
'E6','F6'
'C#4','D4'
'D4','D4'
'F2','F2'
'G#5','B4'
'F3','F3'
'A6','G6'
'A3','D5'
'A2','B2'
'E4','B4'
'A6','B6'
'B4','C5'
'B6','D7'
'E3','F3'
'F#3','F#3'
'D5','C6'
'F#4','F4'
'A#4','G#4'
'D3','D3'
'F#4','D4'
'G#6','A5'
'C#4','D5'
'A#5','A5'
'F3','F3'
'A3','A3'
'D#2','D2'
'G#5','B4'
'C#2','D#2'
'F6','D6'
'F#2','G2'
'C#3','D3'
