'played','guessed'
'B6','A6'
'E6','F6'
'G2','E2'
'D#5','A4'
'G#6','B6'
'F2','F2'
'D#3','C3'
'B5','B5'
'C#2','D2'
'G4','C#4'
'C#6','A5'
'D6','D6'
'C#3','D3'
'D2','D2'
'D3','D3'
'G5','A4'
'F5','F5'
'C6','A5'
'D4','F4'
'A#6','G5'
'C#5','E5'
'G#4','A4'
'B6','B6'
'D#4','D4'
'G#5','G4'
'D#6','B5'
'F#5','B5'
'E2','G2'
'E4','E4'
'C#4','C4'
'B6','C6'
'A#4','F5'
'A#4','A#4'
'A#6','B5'
'E3','F3'
'F#6','A6'
'C#5','G5'
'D#3','G2'
'A6','A6'
'G#2','F2'
'C#2','C2'
'F#2','F3'
'E5','A5'
'F#3','E4'
'A#5','A#5'
'F4','F#4'
'B2','C3'
'A5','G#4'
'A3','A4'
'G#2','A2'
'D#3','D3'
