'played','guessed'
'G#4','E5'
'F5','F5'
'F3','F3'
'B2','G2'
'B2','B2'
'C2','C2'
'C#4','C#4'
'A#4','D#5'
'G#5','F#5'
'D2','C2'
'F#3','G3'
'A#5','A4'
'G#2','G2'
'D6','A#5'
'D2','D2'
'G5','B4'
'A#4','A4'
'F#2','F2'
'D2','C#2'
'G2','F#2'
'F6','F#6'
'A#4','D#5'
'G6','A#6'
'F5','A#4'
'D6','E6'
'C#4','C4'
'F4','D#4'
'G#6','G#5'
'B4','G4'
'B4','B4'
'D3','E3'
'C3','D#3'
'D#4','D#5'
'C2','D2'
'E3','D3'
'G4','G#5'
'A4','A4'
'B2','D2'
'B4','B4'
'F#6','B5'
'G#3','F3'
'C3','C#3'
'E3','F3'
'A3','A3'
'G2','F2'
'A4','B4'
'D#6','A5'
'C6','F6'
'F3','A3'
'B2','C3'
'C#2','C2'
