'played','guessed'
'D#6','E6'
'A4','D5'
'D#6','B5'
'B6','A6'
'F4','G5'
'C#6','E6'
'F6','F6'
'A3','B3'
'D6','C#5'
'B2','B2'
'A5','G5'
'E6','B5'
'E6','E6'
'A2','F2'
'G4','E5'
'E3','G3'
'E3','E3'
'F2','E2'
'F3','E3'
'D#4','D#4'
'E5','D#5'
'G#4','G4'
'C5','B4'
'G#3','B3'
'A#3','B3'
'F#6','E6'
'C4','C#4'
'B3','B3'
'A5','F5'
'A#3','D4'
'B6','A#6'
'F5','B5'
'E2','E2'
'E5','E5'
'F6','A5'
'E4','B5'
'D#5','G4'
'D2','C2'
'D#3','F3'
'F4','B4'
'D#2','C#2'
'D#6','A5'
'F2','F2'
'C#2','C2'
'G2','F#2'
'G#3','F3'
'C3','B2'
'F#6','E6'
'E3','G3'
'D#5','G5'
'D2','C#2'
