'played','guessed'
'G#3','D#4'
'E6','B5'
'D6','D6'
'D#2','C2'
'B4','D#4'
'D5','C#5'
'C#6','B5'
'D#6','D#6'
'F4','D4'
'F#6','A5'
'C#4','C4'
'G5','C5'
'A4','F5'
'E3','G#3'
'C4','C4'
'E3','F3'
'E3','E3'
'C#5','G5'
'G3','F#3'
'G6','A6'
'F#6','F#6'
'F#3','E3'
'A#6','A#6'
'A#3','C#4'
'G#5','F6'
'F#3','E3'
'C6','A5'
'C5','B5'
'G#3','D3'
'G2','E2'
'A2','F#2'
'B5','A5'
'F#2','G2'
'B2','B2'
'F#3','B3'
'D4','A4'
'A2','F2'
'D#2','C2'
'F6','G#6'
'G#5','D6'
'B3','C#4'
'C#5','A4'
'A6','G6'
'A#2','A2'
'A5','G#5'
'E2','F2'
'F5','F#5'
'B6','A#6'
'G4','A5'
'B6','B6'
'D3','D#3'
