'played','guessed'
'F4','B4'
'A#2','D3'
'B5','A#5'
'B4','G#5'
'D#3','F#3'
'F3','F3'
'B5','F6'
'B2','D3'
'G#6','G6'
'G2','E2'
'A#3','B2'
'C2','C2'
'A5','C5'
'G#3','A3'
'D5','G4'
'D#5','D#5'
'C5','C#5'
'D5','C#5'
'C#6','G#5'
'E2','E2'
'F#4','D#4'
'F#5','A#4'
'F4','D4'
'C#5','A4'
'D4','B4'
'B4','B4'
'E5','E5'
'D2','D2'
'E5','D5'
'C6','E6'
'B5','B5'
'C#2','D#2'
'C3','C3'
'A#3','C4'
'D#2','E2'
'E6','A5'
'B5','C6'
'D2','D2'
'E5','E6'
'F#5','F#5'
'F#4','E4'
'C#5','D5'
'C6','B5'
'D6','D#6'
'D#5','A#5'
'A3','A3'
'G3','G3'
'D6','A5'
'C#3','A2'
'G#4','G#5'
'B4','F#4'
