'played','guessed'
'F#2','C#2'
'A#3','D4'
'F4','A4'
'D2','D2'
'G3','D3'
'G4','G4'
'F3','F3'
'G#6','F6'
'C5','B5'
'C6','C6'
'B4','F5'
'F#3','D4'
'A#6','F6'
'C2','D2'
'C#5','G3'
'G5','B4'
'F#2','E3'
'C4','D4'
'F#5','C6'
'C#3','F2'
'B5','B4'
'F2','G#2'
'G#3','E3'
'A#4','F4'
'E4','C5'
'D#3','F2'
'A5','A4'
'C6','C6'
'C2','C#2'
'G3','C4'
'B3','A3'
'C#5','G6'
'B5','E6'
'G#3','D#4'
'A5','A4'
'C2','C2'
'G#2','G2'
'E3','D3'
'B3','D4'
'D6','F6'
'F3','E3'
'B6','B5'
'G#2','D4'
'B4','A4'
'B6','E6'
'A#6','D6'
'B4','F5'
'D3','D3'
'G3','D4'
'A#4','B4'
'A#5','A5'
