'played','guessed'
'D#4','D5'
'G5','F5'
'E3','C3'
'F#4','F5'
'C5','B4'
'A#2','A2'
'C#6','G5'
'G6','F6'
'G#6','A6'
'F5','F6'
'G5','F#5'
'D2','F2'
'G3','G3'
'D3','B3'
'F#6','G#6'
'A#2','D3'
'D2','E2'
'F#5','F5'
'D#2','D2'
'D6','E5'
'F2','D3'
'D#5','E3'
'F#5','F5'
'F5','F#5'
'A4','D5'
'C#5','G#4'
'F3','F3'
'C#3','B2'
'E2','D3'
'E2','E2'
'D#6','A#5'
'G5','C6'
'D6','F6'
'B5','B5'
'B6','F#6'
'C6','G5'
'D5','F5'
'B3','D4'
'C4','C4'
'D#3','D3'
'G6','D#6'
'G6','G6'
'G4','D4'
'C2','G2'
'F4','E3'
'G#2','D3'
'F4','D4'
'F4','F4'
'A6','F5'
'D4','D4'
'F2','D#3'
