'played','guessed'
'G2','G2'
'D5','F5'
'A#2','D3'
'F3','G3'
'C#4','C#4'
'D3','E3'
'G6','E6'
'G#5','B5'
'B4','D5'
'A#5','C5'
'A6','A6'
'D#2','D#2'
'G5','B5'
'D6','A5'
'G#3','G3'
'G#6','A6'
'F#5','E6'
'A2','G2'
'E3','E3'
'F6','E5'
'A#2','D3'
'F#4','A4'
'D#5','B4'
'G#6','B5'
'G6','F6'
'A#6','B6'
'F#6','A#6'
'F#4','A5'
'B5','E5'
'F5','B4'
'A#3','C4'
'C4','C4'
'D5','F5'
'D#3','A2'
'B4','B4'
'C2','D2'
'C3','E3'
'D#5','C5'
'F#4','G4'
'D#3','G3'
'E6','B5'
'D5','F5'
'E5','B4'
'D#2','E2'
'E4','D4'
'C#4','D4'
'A#5','E5'
'C2','D2'
'D6','D6'
'C3','C3'
'A#2','A#2'
