'played','guessed'
'G#4','B4'
'G#5','A4'
'B5','D6'
'E4','E4'
'G5','D5'
'A5','A#5'
'A4','E5'
'A4','A4'
'C#2','C2'
'D2','D2'
'F#5','D5'
'A2','F2'
'A6','B5'
'B6','B6'
'F#2','A2'
'C#3','C#3'
'A5','D#5'
'A4','G4'
'B3','C4'
'C#6','F5'
'D6','D#6'
'C#6','C#6'
'F2','F2'
'F6','F5'
'C#5','C6'
'G3','G3'
'F5','G4'
'F#6','D6'
'C3','A2'
'A#5','D5'
'F3','F3'
'D5','F5'
'C6','E5'
'D5','A5'
'C#6','F5'
'A#4','D6'
'C3','B2'
'F4','G4'
'B2','D3'
'A#2','A2'
'C#4','C4'
'E2','G3'
'E6','G5'
'C4','C4'
'A2','F2'
'A#5','A3'
'G2','B2'
'A#5','G5'
'C3','B2'
'D2','C2'
'G2','F2'
