'played','guessed'
'C#4','D#4'
'E4','F4'
'F#2','A2'
'E6','E6'
'A2','C3'
'C#6','E5'
'F#5','G6'
'A#3','D4'
'F#2','C3'
'A#3','D#4'
'F6','D6'
'F2','G2'
'C#4','D4'
'B3','B3'
'E5','C6'
'F4','E4'
'G#5','G5'
'D4','F4'
'G#2','F2'
'D5','A3'
'G4','E5'
'F#5','G5'
'A6','E6'
'D6','G6'
'G#5','A#5'
'D6','B5'
'F4','A#4'
'C3','D3'
'C4','C4'
'F2','E2'
'F3','E3'
'D#6','A5'
'C#4','E4'
'C#3','F3'
'A4','G4'
'D2','C#2'
'A5','E5'
'B3','D4'
'B3','B3'
'A6','D6'
'B2','E4'
'A#5','E5'
'D#4','F4'
'A#6','C6'
'F3','F4'
'F#6','D5'
'D#3','D3'
'A6','D5'
'E3','F4'
'D#4','D5'
'C#4','C#4'
