'played','guessed'
'D5','C6'
'C#6','D6'
'D#6','D#6'
'G4','B4'
'D#6','C#6'
'G2','F2'
'B3','G3'
'C#2','C2'
'F6','B5'
'E3','F3'
'G2','G2'
'B4','G4'
'B6','G6'
'G#2','F#2'
'D6','A5'
'G6','G6'
'C#3','D2'
'G#6','D#6'
'D#6','D#6'
'B5','C#6'
'C#4','F#4'
'A4','G#4'
'G#4','G#4'
'A#6','F6'
'G3','B3'
'E6','G5'
'F4','C5'
'A#4','A4'
'F#4','A4'
'F4','F4'
'C5','A4'
'E6','F6'
'D#2','D2'
'A4','C6'
'D6','D6'
'F#6','E6'
'C3','D3'
'A5','D6'
'A#6','F6'
'E3','E3'
'F#2','E2'
'E4','G4'
'C#6','B5'
'D2','D2'
'F#6','D6'
'B6','A6'
'F#4','D5'
'G6','B5'
'A4','A4'
'A#3','A#3'
'G#2','F#2'
