'played','guessed'
'F5','F#6'
'A#4','D5'
'A5','F#5'
'C#3','A2'
'F#5','D5'
'A3','A3'
'F#2','A2'
'G6','B5'
'G#6','G6'
'F3','B3'
'C#3','A2'
'F2','G#2'
'D2','C2'
'D#6','A5'
'C#2','E2'
'A#5','G#5'
'F#3','F3'
'D#5','A3'
'B6','G6'
'C2','G2'
'G#4','D3'
'C5','A4'
'G#5','F5'
'A#6','C6'
'C#6','D6'
'G4','A5'
'F6','G#6'
'D#3','B3'
'G5','F#6'
'F#6','F#6'
'B6','G6'
'C3','B2'
'D3','D3'
'G#2','E2'
'G2','F2'
'G#3','D3'
'A#4','B3'
'G5','B4'
'B3','C4'
'F#2','G2'
'E2','F2'
'C#5','G3'
'A#4','C5'
'G3','D4'
'A5','D#5'
'E6','B6'
'D4','C4'
'F5','G3'
'B3','F3'
'A4','A5'
'F2','D3'
