'played','guessed'
'D#2','D2'
'C#4','C4'
'G#4','C5'
'G#4','G#4'
'D#5','B4'
'B6','G6'
'A#2','B2'
'E6','F6'
'F#4','G5'
'C3','B2'
'C#4','C4'
'E2','E2'
'A#3','C3'
'A#3','A#3'
'C#2','F2'
'E2','E2'
'D#6','G5'
'F#6','G#6'
'F4','A5'
'A#5','B5'
'C#2','C2'
'C2','C2'
'C5','A4'
'C#5','C#5'
'D#3','G3'
'D5','B4'
'D#5','F5'
'F#6','B5'
'G#6','G#6'
'F#3','A3'
'B6','B5'
'A#3','D#4'
'C6','G5'
'A6','A6'
'A#6','A#6'
'F#2','F2'
'A4','A4'
'C#4','C4'
'A#4','A#4'
'F#2','F2'
'A4','B4'
'F2','F#2'
'F3','B2'
'F5','F5'
'E5','E5'
'F5','F5'
'A6','G#6'
'A#4','E5'
'F#5','F5'
'D#2','C#2'
'F#4','D#4'
