'played','guessed'
'G6','B6'
'D#5','B5'
'A#6','F6'
'D4','C4'
'G#4','G4'
'C2','C2'
'A2','G2'
'C#5','A3'
'F#4','G4'
'G#6','G6'
'C2','C2'
'D6','F6'
'G6','G6'
'E6','F6'
'A4','D6'
'F3','A3'
'C#5','G4'
'G#4','A4'
'F6','A5'
'C#5','D6'
'C#4','C4'
'E2','F2'
'A#4','F4'
'F4','F4'
'A#4','A4'
'F#2','F2'
'C#4','C4'
'D6','F5'
'A2','G2'
'B4','D5'
'F#5','D6'
'G4','E4'
'B6','G6'
'E5','D7'
'F#3','D#4'
'D#5','G#4'
'G3','A#3'
'G5','B3'
'C2','D2'
'E4','E4'
'C2','D2'
'A3','B3'
'C#5','E3'
'D3','F3'
'G4','A4'
'C#2','D2'
'C4','C4'
'F#4','D5'
'D#5','E5'
'F#3','G3'
'G#5','G5'
