'played','guessed'
'B2','C3'
'F#6','B5'
'F#2','F2'
'G#5','E6'
'B2','C3'
'D3','D3'
'D5','A5'
'A4','B4'
'B5','G5'
'G#2','G2'
'C#3','C3'
'C4','C4'
'D#2','D2'
'A2','G2'
'D#6','F5'
'G6','B6'
'D5','D6'
'F3','D3'
'F3','F3'
'E4','F4'
'A6','E4'
'E2','F2'
'G2','G2'
'F#3','G3'
'F#3','F#3'
'F#3','F#3'
'A3','G#3'
'D3','D3'
'G#4','A4'
'G5','A5'
'E5','F5'
'F2','D2'
'C5','G3'
'A5','G5'
'B6','A6'
'B5','B5'
'C#2','D2'
'A#6','A4'
'B6','B6'
'E4','A4'
'C#5','B4'
'C6','C5'
'E2','G2'
'E5','F5'
'C3','D3'
'F#6','E6'
'D#6','C6'
'C4','D4'
'D#6','G5'
'E5','F5'
'G#4','G4'
