'played','guessed'
'E6','A6'
'C2','F2'
'C#3','A2'
'F#4','D4'
'B5','D5'
'C2','D2'
'G3','A3'
'F#5','D5'
'A3','G#3'
'B6','F6'
'F#6','A6'
'D5','A5'
'C#6','B5'
'B3','G3'
'E2','B2'
'A#2','F2'
'D#6','G#5'
'G#3','B3'
'F5','F3'
'C#4','E4'
'D#4','D4'
'D#5','C5'
'A#5','E5'
'G#2','G2'
'A5','F5'
'G#5','B5'
'C#4','C4'
'A#4','E4'
'A3','D4'
'B2','B2'
'G2','E2'
'B6','C5'
'A#5','C6'
'E2','A2'
'F6','A5'
'D#4','D4'
'A5','G4'
'G#5','G#5'
'F#6','B6'
'F5','D5'
'B3','C4'
'D#5','A5'
'D3','D3'
'D#6','G6'
'A#4','E5'
'A#3','E4'
'G6','A6'
'F6','G6'
'A3','F3'
'C2','D2'
'D3','D3'
